"County","Zone","Region","Population"
"Adams",3,6,29387
"Allen",1,1,99259
"Ashland",1,5,45221
"Ashtabula",1,2,98921
"Athens",2,7,61820
"Auglaize",1,1,53022
"Belmont",2,8,63661
"Brown",3,6,36984
"Butler",3,6,368693
"Carroll",1,5,19799
"Champaign",3,3,36753
"Clark",3,3,133220
"Clermont",3,6,209719
"Clinton",3,6,45657
"Columbiana",1,5,108145
"Coshocton",2,8,30882
"Crawford",2,4,43604
"Cuyahoga",1,2,1259448
"Darke",3,3,45694
"Defiance",1,1,33841
"Delaware",2,4,197264
"Erie",1,1,77694
"Fairfield",2,4,138826
"Fayette",2,4,26001
"Franklin",2,4,1300450
"Fulton",1,1,46902
"Gallia",2,7,24393
"Geauga",1,2,88852
"Greene",3,3,169443
"Guernsey",2,8,37097
"Hamilton",3,6,820765
"Hancock",1,1,65583
"Hardin",2,4,32504
"Harrison",2,8,11115
"Henry",1,1,25923
"Highland",3,6,41092
"Hocking",2,7,24675
"Holmes",1,5,29079
"Huron",1,1,71862
"Jackson",2,7,31174
"Jefferson",2,8,63492
"Knox",2,4,61867
"Lake",1,2,229187
"Lawrence",2,7,58843
"Licking",2,4,155737
"Logan",2,4,43666
"Lorain",1,2,298212
"Lucas",1,1,422389
"Madison",2,4,52024
"Mahoning",1,5,228236
"Marion",2,4,65136
"Medina",1,5,173894
"Meigs",2,7,12793
"Mercer",1,1,40603
"Miami",3,3,106892
"Monroe",2,8,12580
"Montgomery",3,3,529624
"Morgan",2,8,9496
"Morrow",2,4,25277
"Muskingum",2,8,140922
"Noble",2,8,9319
"Ottawa",1,1,42206
"Paulding",1,1,13297
"Perry",2,8,34350
"Pickaway",2,4,53607
"Pike",2,7,25289
"Portage",1,5,166682
"Preble",3,3,37305
"Putnam",1,1,33754
"Richland",1,5,120818
"Ross",2,7,75923
"Sandusky",1,1,50701
"Scioto",2,7,64785
"Seneca",1,1,55089
"Shelby",3,3,44828
"Stark",1,5,398251
"Summit",1,5,515434
"Trumbull",1,5,194376
"Tuscarawas",1,5,98020
"Union",2,4,43605
"Van Wert",1,1,18701
"Vinton",2,7,11611
"Warren",3,6,209131
"Washington",2,8,55716
"Wayne",1,5,123052
"Williams",1,1,32011
"Wood",1,1,120183
"Wyandot",2,4,23262
